地区,年份,R_D投入强度,高新技术企业数,专利授权量,GDP总量,人均可支配收入,产业结构高级化,空气质量优良率,单位GDP能耗,绿地覆盖率
江苏,2022,3.8,12622,39.3,104176,45954,54.7,74.6,0.473,41.7
江苏,2023,3.48,13098,42.2,107259,48126,56,74.4,0.484,42.6
江苏,2024,3.5,14041,43.9,113303,50076,57.5,77.4,0.433,42.6
浙江,2015,2.22,6556,21.9,42991,31767,51.7,77.9,0.382,39.8
浙江,2016,2.94,7319,24.5,46079,34422,51.8,74.7,0.349,41.7
浙江,2017,2.49,8308,27.7,48416,36415,53.7,77.9,0.332,42.4
浙江,2018,3.01,9181,30,53223,38305,54.5,78.8,0.321,42.8
浙江,2019,3.56,9837,32,55689,40489,55.9,79.1,0.292,43.3
浙江,2020,3.75,10678,34.1,58268,42304,55.5,81.5,0.291,43.7
浙江,2021,3.19,11374,36.8,60173,43994,56.8,81.9,0.262,44.3
浙江,2022,3.38,12272,39.6,63337,46043,57.5,82.8,0.25,44.9
浙江,2023,3.76,13266,43.2,66830,47958,57.6,84.2,0.25,45.7
浙江,2024,3.43,14108,45.1,69197,50111,60.8,84.3,0.25,45.9
福建,2015,1.65,3478,10.2,30396,23148,51.9,89.3,0.472,46.2
福建,2016,1.84,4230,11.1,32131,24795,51,91.3,0.48,46.8
福建,2017,2.61,4610,12.3,35085,26674,53.1,89.2,0.432,47.8
福建,2018,2.08,5010,15.2,36782,27868,53.8,93.9,0.425,47.9
福建,2019,1.98,5411,16.9,39550,29246,54.6,92.4,0.409,50
福建,2020,2.14,5988,16,40878,30939,56,93.1,0.406,49.4
福建,2021,2.98,6662,18.5,43659,32116,55.8,91.7,0.382,50
福建,2022,2.67,6908,20.1,45526,34404,58.2,95.7,0.355,50
福建,2023,2.47,7678,21.5,47287,35524,58.8,94.6,0.339,50
福建,2024,3,8094,21.9,50201,36972,59.6,96,0.309,50
